,SKU,NAME,RRP 
,5228ALF,Yamaha Band Student Bk 3 Baritone T.C.,$17.95
,9.78E+12,SOUND INNOVATIONS AUST BARITONE TC BK 1,$24.00
,121146,CLASSICAL SOLOS FOR BARITONE BC V2 BK/CD,$34.95
,121147,CLASSICAL SOLOS FOR BARITONE TC V2 BK/CD (O/P),$34.95
,35022004,HADDAD - SUITE FOR BARITONE,$41.95
,3744453,JOCK JAMS SUPER BOOK BARITONE BC,$11.95
,3744454,JOCK JAMS SUPER BOOK BARITONE TC,$11.95
,3747318,POP CLASSICS BARI TC MARCHING BAND,$11.95
,3750048,COLLEGE SONGS FOR SCHOOL BANDS BARITONE BC,$11.95
,3750070,COLLEGE SONGS FOR SCHOOL BANDS BARITONE TC,$11.95
,3776514,SOUNDS FROM THE HUDSON ARR GEISLER EUP PNO (O/P),$20.95
,4477726,ARIA AND ALLEGRO,$16.95
,4477728,CONCERT ARIA BARITONE/PNO BASS CLEF,$18.95
,4477730,IN THE HALL BARITONE BC OR TC/PNO,$16.95
,4477732,JOLLY PEASANT BARI SOLO/PNO ARR HOLMES,$16.95
,50/1087H,JUMPSTART FIRST CONCERT BARITONE TC/BASS CLARINET,$9.95
,6413300,INTERMEDIATE BAND METHOD BARITONE BC,$16.95
,860198,PERFORMANCE FAVORITES EEGR2 V1 BARITONE TC,$16.95
,862533,INSTANT SUCCESS BARITONE TC,$8.95
,60862601,ESSENTIAL ELEMENTS FOR BAND BK2 BARITONE TC EEI,$29.95
,60862629,ESSENTIAL TECHNIQUE FOR BAND BK3 BARITONE BC EEI,$29.95
,60862630,ESSENTIAL TECHNIQUE FOR BAND BK3 BARITONE TC EEI,$29.95
,863531,ESSENTIAL ELEMENTS BK 2 BARITONE BC (ORIGINAL SERIES),$14.95
,G-10173,HABITS SUCCESSFUL BEGINNER BAND MUSICIAN BARITONE TC,$31.95
,G-M580,HOME HELPER FOR BAND BK/CD BARITONE BC,$15.95
,W47TC,THE ART IN SIGHT READING BARITONE T.C.,$21.95
,W51BC,CUTTING THE CHANGES C BASS CLEF BK/CD/CDR,$49.95
,48573,SOUND SIGHT-READING FOR CONCERT BAND BK 1 BARITONE BC,$28.95
,48572,SOUND SIGHT-READING FOR CONCERT BAND BK 1 BARITONE TC,$28.95
,51679,SOUND INNOVATIONS AUST BARITONE BC BK 1,$27.95
,51680,SOUND INNOVATIONS AUST BARITONE TC BK 1,$27.95
,51700,SOUND INNOVATIONS AUST BARITONE BC BK 2,$27.95
,51701,SOUND INNOVATIONS AUST BARITONE TC BK 2,$27.95
,9154,Habits of a Successful Middle School Musician - Baritone TC,$28.95
,10173,Habits of a Successful Beginner Band Musician - Baritone TC,$31.95
,ED21330,Carmen,$32.95
,00-710,"John Kinyon's Basic Training Course, Book 1 Baritone",$17.95
,00-722,BOPERATION 3 HNS RHYTHM SEXTET SFM4-5,$58.00
,N1020,NOTEWORTHY BARITONE MUSIC STAND,$440.00
,00-CBC00345,"Band Today, Part 1 in French [L'Orchestre Ã€ Vent Moderne]",$15.95
,00-CBC00346,"Band Today, Part 1 in French [L'Orchestre Ã€ Vent Moderne]",$15.95
,36-10540115,Introduction and Polonaise for Euphonium and Piano,$22.95
,36-10540116,Scene de Concert for Euphonium and Piano,$16.95
,36-10540119,Desert Star,$16.95
,36-10540131,The Young Prince for Trombone or Euphonium and Piano,$19.95
,36-10540132,Sparkles for Baritone and Piano,$19.95
,36-10540159,The Rosary for Baritone (B.C.) Solo and Piano,$16.95
,36-10540161,Tarantelle,$19.95
,36-10540186,Carnival of Venice for Euphonium and Piano,$22.95
